Zeit [abs];DP [°C];Temp[°C];Phi_Mittel_AUL;Phi_Mittel_ZUL;Phi_Mittel_ABL;Phi_Mittel_FOL
23.06.2016, 13:05:54,654;22,6;23,57;3,918047619;3,938380952;3,962333333;3,923142857
23.06.2016, 13:12:44,654;22,5;23,51;3,931238095;3,94752381;3,967142857;3,93347619
23.06.2016, 13:19:49,654;22,5;23,5;3,94145;3,95145;3,9711;3,94175
23.06.2016, 13:31:49,654;23,4;24,79;3,837;3,8589;3,86835;3,8444
23.06.2016, 13:39:04,654;24,1;25,34;3,88447619;3,888619048;3,905380952;3,880142857
23.06.2016, 13:48:59,654;24,8;25,9;3,897666667;3,895380952;3,91447619;3,89547619
23.06.2016, 13:58:19,654;25,1;26,19;3,90452381;3,89847619;3,917619048;3,900285714
23.06.2016, 14:13:24,654;25,2;26,38;3,904904762;3,894809524;3,912285714;3,899238095
23.06.2016, 14:20:54,654;25,3;26,42;3,903047619;3,894238095;3,906952381;3,899857143
23.06.2016, 14:35:29,654;25,3;26,47;3,900571429;3,888857143;3,900047619;3,896190476
23.06.2016, 14:54:49,654;24,1;25,5;3,88147619;3,870047619;3,887571429;3,873857143
23.06.2016, 15:41:39,654;15,8;25,4;2,64847619;2,639857143;2,651095238;2,636952381
23.06.2016, 15:49:09,654;16;25;2,624428571;2,618238095;2,629380952;2,615190476
23.06.2016, 15:49:09,654;15,8;25,4;2,624428571;2,618238095;2,629380952;2,615190476
23.06.2016, 16:31:18,654;16,6;28,49;3,020714286;2,265571429;2,282238095;2,273714286
23.06.2016, 16:55:49,654;24,8;29,19;3,067714286;3,191142857;3,213285714;3,204333333
23.06.2016, 17:01:29,654;24,8;29,22;3,073761905;3,196428571;3,219952381;3,209666667
23.06.2016, 17:21:29,653;22,2;29,29;2,723142857;2,834952381;2,850333333;2,838
